"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","693","Test POST user with valid data [2] com.example.fakestoreapi.model.User@4476ac12, 201","","Fri Aug 15 14:17:41 GMT 2025","failed","Fri Aug 15 14:17:41 GMT 2025","","com.example.fakestoreapi.test.users.PostUsersTests","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithValidData"
"","830","Test GET cart by ID endpoint [1] 1, 200","","Fri Aug 15 14:15:45 GMT 2025","passed","Fri Aug 15 14:15:46 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartById"
"","829","Test POST user with valid data [2] com.example.fakestoreapi.model.User@66b16770, 400","","Fri Aug 15 14:17:42 GMT 2025","failed","Fri Aug 15 14:17:43 GMT 2025","","com.example.fakestoreapi.test.users.PostUsersTests","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithInvalidData"
"","748","Test POST carts with valid data [3] com.example.fakestoreapi.model.Cart@52d59507, 201","","Fri Aug 15 14:15:52 GMT 2025","passed","Fri Aug 15 14:15:53 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithValidData"
"","512","Test PUT /products endpoint with invalid data [2] com.example.fakestoreapi.model.Product@7dcd8e74, 400","","Fri Aug 15 14:17:30 GMT 2025","failed","Fri Aug 15 14:17:30 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"","657","Test GET /users/{id} endpoint [2] 2, 200","","Fri Aug 15 14:17:36 GMT 2025","passed","Fri Aug 15 14:17:37 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByValidId"
"","785","Verify that user can delete carts by valid ID [3] 3, 200","","Fri Aug 15 14:15:40 GMT 2025","passed","Fri Aug 15 14:15:41 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByValidId"
"","853","Verify that user cannot delete a product by invalid ID [2] -1, 400","","Fri Aug 15 14:17:16 GMT 2025","failed","Fri Aug 15 14:17:17 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductByInvalidId"
"","847","Verify that user cannot delete carts by invalid ID [3] 0, 400","","Fri Aug 15 14:15:42 GMT 2025","failed","Fri Aug 15 14:15:43 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId"
"Test DELETE /users/{id} endpoint with valid IDs","621","testDeleteUser(int, int) [3] 3, 200","","Fri Aug 15 14:17:34 GMT 2025","passed","Fri Aug 15 14:17:35 GMT 2025","","com.example.fakestoreapi.test.users.DeleteUsersTests","com.example.fakestoreapi.test.users.DeleteUsersTests","testDeleteUser"
"","942","Verify that user cannot delete carts by invalid ID [1] 9999, 404","","Fri Aug 15 14:15:41 GMT 2025","failed","Fri Aug 15 14:15:42 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId"
"","561","Test Update /users/{id} endpoint with valid data [2] com.example.fakestoreapi.model.User@5b83545d, 200","","Fri Aug 15 14:17:44 GMT 2025","failed","Fri Aug 15 14:17:44 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateValidUser"
"","512","Test POST carts with invalid data [3] com.example.fakestoreapi.model.Cart@2411b935, 400","","Fri Aug 15 14:15:54 GMT 2025","failed","Fri Aug 15 14:15:55 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"","566","Test PUT /products endpoint with invalid data [4] com.example.fakestoreapi.model.Product@7aac05e2, 400","","Fri Aug 15 14:17:31 GMT 2025","failed","Fri Aug 15 14:17:31 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"","744","Verify that user cannot delete carts by invalid ID [2] -1, 400","","Fri Aug 15 14:15:42 GMT 2025","failed","Fri Aug 15 14:15:42 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId"
"","550","Test PUT /products/{id} endpoint with valid data [3] com.example.fakestoreapi.model.Product@1836228d, 200","","Fri Aug 15 14:17:33 GMT 2025","passed","Fri Aug 15 14:17:33 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutValidProduct"
"Test DELETE /users/{id} endpoint with valid IDs","596","testDeleteUser(int, int) [2] 2, 200","","Fri Aug 15 14:17:34 GMT 2025","passed","Fri Aug 15 14:17:34 GMT 2025","","com.example.fakestoreapi.test.users.DeleteUsersTests","com.example.fakestoreapi.test.users.DeleteUsersTests","testDeleteUser"
"","719","Test Update /users/{id} endpoint with valid data [1] com.example.fakestoreapi.model.User@d4a4ba, 200","","Fri Aug 15 14:17:43 GMT 2025","failed","Fri Aug 15 14:17:44 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateValidUser"
"","745","Test GET /users/{id} endpoint with invalid ID [3] 0, 400","","Fri Aug 15 14:17:39 GMT 2025","failed","Fri Aug 15 14:17:40 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId"
"","696","Test POST carts with invalid data [2] com.example.fakestoreapi.model.Cart@41f23499, 400","","Fri Aug 15 14:15:53 GMT 2025","failed","Fri Aug 15 14:15:54 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"","783","Test POST carts with invalid data [1] com.example.fakestoreapi.model.Cart@1e029a04, 404","","Fri Aug 15 14:15:53 GMT 2025","failed","Fri Aug 15 14:15:53 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
